Indo,Jepang,Kanji,Keterangan
Senter,Kaichuu-dentoo,かいちゅうでんとう ,Kata Benda
Kotak Sampah,Gomibako,ごみばこ ,Kata Benda
Kalender,Karendaa,カレンダー ,Kata Benda
Vas,Kabin,カレンダー ,Kata Benda
Pot,Potto,ポット ,Kata Benda
Pensil,Enpitsu,えんぴつ ,Kata Benda
Pulpen,Pen,ペン ,Kata Benda
Kamus,Jisho,じしょ ,Kata Benda
Buku,Hon,ほん,Kata Benda
Buku Tulis,Nooto,ノート ,Kata Benda
Buku Pelajaran,Kyoukasho ,教科書 (きょうかしょ) ,Kata Benda
Bolpoin,Boorupen ,ボールペン ,Kata Benda
Gunting,Hasami,鋏 (はさみ) ,Kata Benda
Busur Derajat,Bundoki,分度器 (ぶんどき) ,Kata Benda
Kapur,Chooku,チョーク ,Kata Benda
Papan Tulis,Kokuban,黒板 (こくばん),Kata Benda
Pensil Mekanik,Shaapupenshiru,シャープペンシル ,Kata Benda
Spidol,Maakaa,マーカー ,Kata Benda
Staples,Hochikisu,ホチキス,Kata Benda
Tempat Pensil,Fudebako,筆箱 (ふでばこ),Kata Benda
Seragam,Seifuku,征服 (せいふく) ,Kata Benda
Peta,Chizu,地図 (ちず) ,Kata Benda
Ensiklopedia,Hyakkajiten ,百科事典 (ひゃっかじてん) ,Kata Benda
Kalkuator,Dentaku,電卓 (でんたく),Kata Benda
Kertas,Kami,紙 (かみ) ,Kata Benda
Alat Elektronik,Denki-seehin,でんきせいひん ,Kata Benda
Setrika,Airon,アイロン ,Kata Benda
Mesin Cuci,Sentakuki,せんたくき ,Kata Benda
Penyedot Debu,Soujiki,そうじき ,Kata Benda
Kulkas,Reizouko,れいぞうこ ,Kata Benda
AC,Eakon,エアコン ,Kata Benda
Kipas Angin,Senpuuki,せんぷうき ,Kata Benda
Pemanas Udara,Danbou,だんぼう ,Kata Benda
Oven,Oobun,オーブン,Kata Benda
Oven Microwave,Denshi-renji,でんしレンジ ,Kata Benda
Listrik,Denki,でんき ,Kata Benda
Televisi,Terebi,テレビ ,Kata Benda
Telepon,Denwa,でんわ ,Kata Benda
Radio,Rajio,ラジオ ,Kata Benda
Komputer,Konpyuuta,コンピューター,Kata Benda
Printer,Purintaa,プリンター,Kata Benda
Kamera,Kamera,カメラ ,Kata Benda
Speaker,Supiikaa,スピーカー ,Kata Benda
Smart Phone,Sumaatofon,スマートフォン ,Kata Benda
Handphone,Keitai-denwa,けいたいでんわ,Kata Benda
Pengering Rambut,Doraiyaa,ドライヤー,Kata Benda
Sepeda,Jitensha,じてんしゃ,Kata Benda
Motor,Baiku,バイク ,Kata Benda
Mobil,Kuruma,くるま ,Kata Benda
Taksi,Takushii,タクシー ,Kata Benda
Bus,Basu,バス ,Kata Benda
Ambulans,Kyuukyuu,きゅうきゅうしゃ ,Kata Benda
Mobil Pemadam Kebakaran,Shooboosha,しょうぼうしゃ,Kata Benda
Mobil Polisi,Patokaa,パトカー,Kata Benda
Truk,Torakku,トラック,Kata Benda
Sedan,Sedan,セダン,Kata Benda
Kereta,Densha,でんしゃ ,Kata Benda
Kereta Bawah Tanah,Chikatetsu,ちかてつ ,Kata Benda
Kereta Peluru,Shinkansen,しんかんせん ,Kata Benda
Monorel,Monoreeru,モノレール ,Kata Benda
Pesawat,Hikouki,ひこうき ,Kata Benda
Helikopter,Herikoputaa,ヘリコプター,Kata Benda
Pesawat Tempur,Sentooki,せんとき,Kata Benda
Kapal,Fune,ふね ,Kata Benda
Kapal Penumpang,Kyakusen,きゃくせん,Kata Benda
Kapal Barang,Kamotsuen,かもつせん,Kata Benda
Kapal Feri,Ferii,フェリー,Kata Benda
Kapal Penangkap Ikan,Gyosen,ぎょせん,Kata Benda
Kapal Perang,Gunkan,ぐんかん,Kata Benda
Kapal Tempur,Senkan,せんかん,Kata Benda
Kapal Selam,Sensuikan,せんすいかん,Kata Benda
Yacht,Yotto,ヨット,Kata Benda
Perahu,Booto,ボート,Kata Benda
Kano,Kanuu,カヌー,Kata Benda
Kayak,Kayakku,カヤック,Kata Benda
Rumah,Ie,いえ,Kata Benda
Rumah Susun,Apaato,アパート ,Kata Benda
Apartemen,Manshon,マンション ,Kata Benda
Sekolah,Gakkou,がっこう ,Kata Benda
Hotel,Hoteru,ホテル ,Kata Benda
Restoran,Resutoran,レストラン ,Kata Benda
Taman,Kouen,こうえん ,Kata Benda
Bank,Ginkou,ぎんこう ,Kata Benda
Kantor Polisi,Keesatsu,けいさつ ,Kata Benda
Bioskop,Eegakan,えいがかん ,Kata Benda
Perpustakaan,Toshokan,としょかん ,Kata Benda
Minimarket,Konbini,コンビニ ,Kata Benda
Supermarket,Depaato,デパート ,Kata Benda
Kedai Kopi,Kissaten,きっさてん ,Kata Benda
Rumah Sakit,Byouin,びょういん ,Kata Benda
Kantor Pos,Yuubinkyouku,ゆうびんきょく ,Kata Benda
Mesjid,Mosuku,モスク ,Kata Benda
Gereja,Kyoukai,きょうかい ,Kata Benda
Kuil Shinto,Jinja,じんじゃ ,Kata Benda
Kuil Buddha,Otera,おてら ,Kata Benda
Museum,Hakubutsukan,はくぶつかん ,Kata Benda
Museum Seni,Bijutsukan,びじゅつかん ,Kata Benda
Toko,Mise,みせ ,Kata Benda
Kedutaan Besar,Taishikan,たいしかん ,Kata Benda
Pabrik,Koujou,こうじょう ,Kata Benda
Makanan,Tabemono,たべもの ,Kata Benda
Nasi,Gohan,ごはん ,Kata Benda
Roti,Pan,パン ,Kata Benda
Sereal,Shiriaru,シリアル ,Kata Benda
Selai,Jamu,ジャム ,Kata Benda
Mentega,Bataa,バター ,Kata Benda
Telur,Tamago,たまご ,Kata Benda
Keju,Chiizu,チーズ ,Kata Benda
Yoghurt,Yooguruto,ヨーグルト ,Kata Benda
Daging,Niku,肉 (にく),Kata Benda
Daging Sapi,Gyuuniku,ぎゅうにく ,Kata Benda
Daging Ayam,Toriniku,とりにく ,Kata Benda
Daging Babi,Butaniku,ぶたにく ,Kata Benda
Beras,Kome,米 (こめ),Kata Benda
Permen,Ame,あめ ,Kata Benda
Kue Kering,Kukkii,クッキー ,Kata Benda
Kue Tar,Keeki,ケーキ ,Kata Benda
